title,link,description
Garage thông minh sâu 19 tầng,https://vnexpress.net/garage-thong-minh-sau-19-tang-4868340.html,TRUNG QUỐCGarage thông minh dưới lòng đất tại Thượng Hải dự kiến mở cửa tháng 5 với các hệ thống tự động giúp đậu và lấy xe trong 90 giây.
"Em bé AI biết làm nũng, giận dỗi như trẻ 6 tuổi",https://vnexpress.net/em-be-ai-biet-lam-nung-gian-doi-nhu-tre-6-tuoi-4868322.html,"TRUNG QUỐCSiêu trí tuệ nhân tạo TongTong 2.0 sở hữu những tính cách giống con người, biết biện hộ hành động hoặc đòi phần thưởng trước khi làm theo yêu cầu. 16"
SpaceX phóng tàu chở người đầu tiên bay qua các cực Trái Đất,https://vnexpress.net/spacex-phong-tau-cho-nguoi-dau-tien-bay-qua-cac-cuc-trai-dat-4868431.html,Tên lửa Falcon 9 đưa tàu chở 4 phi hành gia bay lên từ trung tâm vũ trụ Kennedy lúc 21h46 ngày 31/3 (8h46 ngày 1/4 theo giờ Hà Nội).
Máy bay chở khách với cánh lấy cảm hứng từ chim,https://vnexpress.net/may-bay-cho-khach-voi-canh-lay-cam-hung-tu-chim-4868182.html,"Thế hệ máy bay chở khách Airbus tiếp theo dự kiến có cánh nhẹ, mỏng và dài hơn, đồng thời có thể gập lại giống cánh chim."
Những âm thanh bên trong cơ thể người,https://vnexpress.net/nhung-am-thanh-ben-trong-co-the-nguoi-4868240.html,"Cơ thể ""ồn ào"" hơn những gì nhiều người nhầm tưởng với tiếng cơ bắp co giãn, chất lỏng di chuyển và các tế bào hoạt động."
Đảo tử thần nơi hàng nghìn con rắn độc ngự trị,https://vnexpress.net/dao-tu-than-noi-hang-nghin-con-ran-doc-ngu-tri-4868319.html,BRAZILĐảo Rắn đầy rẫy rắn hổ lục đầu giáo vàng có thể đe dọa bất cứ vị khách nào bước lên đảo với nọc độc mạnh gấp 3 - 5 lần đồng loại trên đất liền.
Công nghệ bán dẫn mới giúp Trung Quốc dẫn đầu thế giới,https://vnexpress.net/cong-nghe-ban-dan-moi-giup-trung-quoc-dan-dau-the-gioi-4867828.html,Tấm bán dẫn GaN phân cực nitrogen đầu tiên trên thế giới do các nhà khoa học Trung Quốc tạo ra có thể thay đổi ngành công nghiệp bán dẫn. 80
Tiến sĩ người Việt được bầu vào Viện Hàn lâm Khoa học trẻ toàn cầu,https://vnexpress.net/tien-si-nguoi-viet-duoc-bau-vao-vien-han-lam-khoa-hoc-tre-toan-cau-4863365.html,"Tiến sĩ Hoàng Anh Đức, 35 tuổi, được bầu vào Viện Hàn lâm Khoa học trẻ toàn cầu nhiệm kỳ 2025-2030 vì có nhiều thành tích trong nghiên cứu và chuyển đổi số giáo dục."
"'Tiêu chuẩn, đo lường và chất lượng phải là đòn bẩy tăng năng lực cạnh tranh'",https://vnexpress.net/tieu-chuan-do-luong-va-chat-luong-phai-la-don-bay-tang-nang-luc-canh-tranh-4867769.html,"Tiêu chuẩn, đo lường và chất lượng liên quan tới quan điểm về phát triển, quản trị và đổi mới của một quốc gia, là yếu tố cốt lõi để cơ quan chuyên môn xây dựng tiêu chuẩn."
Máy bay chở khách siêu thanh Trung Quốc tốc độ 2.000 km/h,https://vnexpress.net/may-bay-cho-khach-sieu-thanh-trung-quoc-toc-do-2-000-km-h-4867757.html,Trung Quốc phát triển mẫu máy bay chở khách siêu thanh C949 với tầm hoạt động 10.900 km và sức chở 28 - 48 hành khách. 33
Tại sao động đất khó dự đoán chính xác?,https://vnexpress.net/tai-sao-dong-dat-kho-du-doan-chinh-xac-4867832.html,"Hàng loạt yếu tố địa chất phức tạp dẫn tới động đất khiến các nhà nghiên cứu khó dự đoán chính xác thời gian, địa điểm và quy mô của thảm họa tự nhiên này."
Tên lửa của công ty châu Âu phát nổ khi chưa tới quỹ đạo,https://vnexpress.net/ten-lua-cua-cong-ty-chau-au-phat-no-khi-chua-toi-quy-dao-4867830.html,NA UYTên lửa của công ty khởi nghiệp Isar Aerospace rơi mất kiểm soát và phát nổ chỉ vài giây sau khi cất cánh hôm 30/3. 16
Làm thế nào giữ bình tĩnh trước áp lực?,https://vnexpress.net/lam-the-nao-giu-binh-tinh-truoc-ap-luc-4867787.html,"Tâm trạng lo lắng làm phân tán sự tập trung, để cải thiện cần nghĩ đến kết quả cuối cùng thay vì chú ý những chi tiết trong quá trình thực hiện."
Triển lãm thiết bị phân tích thí nghiệm giới thiệu hơn 300 công nghệ mới,https://vnexpress.net/trien-lam-thiet-bi-phan-tich-thi-nghiem-gioi-thieu-hon-300-cong-nghe-moi-4868129.html,"TP HCMTriển lãm trình diễn thiết bị thí nghiệm, công nghệ phân tích, chẩn đoán và công nghệ sinh học cùng các giải pháp tiên tiến từ hơn 150 quốc gia, diễn ra từ ngày 2-4/4 tại TP HCM."
Robot thám hiểm sao Hỏa đầu tiên của châu Âu,https://vnexpress.net/robot-tham-hiem-sao-hoa-dau-tien-cua-chau-au-4867738.html,Robot Rosalind Franklin dự kiến phóng năm 2028 và đến sao Hỏa năm 2030 nhằm tìm hiểu xem sự sống có từng tồn tại trên hành tinh đỏ hay không.
Robot hình người Trung Quốc làm việc trong nhà máy ôtô cao cấp,https://vnexpress.net/robot-hinh-nguoi-trung-quoc-lam-viec-trong-nha-may-oto-cao-cap-4867633.html,Robot hình người Walker S1 của công ty UBTech Robotics đã bắt đầu làm việc tại nhà máy xe năng lượng mới Audi-FAW ở Trung Quốc. 57
Hồ nhiệt đới lớn nhất thế giới chuyển màu xanh lá,https://vnexpress.net/ho-nhiet-doi-lon-nhat-the-gioi-chuyen-mau-xanh-la-4867664.html,"CHÂU PHIHồ Victoria đang chuyển màu xanh lá do hiện tượng tảo nở hoa độc hại, một số khu vực thậm chí cạn oxy đến mức trở thành ""vùng chết""."
Tại sao tòa nhà 34 tầng ở Bangkok sập trong động đất Myanmar?,https://vnexpress.net/tai-sao-toa-nha-34-tang-o-bangkok-sap-trong-dong-dat-myanmar-4867628.html,"Nhiều công trình ở Bangkok rung lắc trong động đất hôm 28/3, nhưng dường như chỉ có tòa nhà cao tầng đang thi công ở quận Bang Sue đổ sập. 46"
Trung Quốc lập kỷ lục liên lạc lượng tử dài 12.900 km,https://vnexpress.net/trung-quoc-lap-ky-luc-lien-lac-luong-tu-dai-12-900-km-4867288.html,Đường truyền liên lạc lượng tử dài nhất thế giới được thiết lập giữa Trung Quốc và Nam Phi với quãng đường kỷ lục là 12.900 km. 35
Việt Nam đề nghị Czech mở rộng hợp tác công nghệ bán dẫn,https://vnexpress.net/viet-nam-de-nghi-czech-mo-rong-hop-tac-cong-nghe-ban-dan-4867563.html,"Thứ trưởng Khoa học và Công nghệ Bùi Hoàng Phương mong muốn mở rộng hợp tác với Cộng hòa Czech trong ngành công nghiệp bán dẫn, trí tuệ nhân tạo và công nghệ lượng tử."
Việt Nam muốn học hỏi Czech trong xây dựng chính sách đổi mới sáng tạo,https://vnexpress.net/viet-nam-muon-hoc-hoi-czech-trong-xay-dung-chinh-sach-doi-moi-sang-tao-4867554.html,"Thứ trưởng Khoa học và Công nghệ Bùi Hoàng Phương bày tỏ sự quan tâm đặc biệt, muốn tìm hiểu, học hỏi Cộng hòa Czech trong xây dựng chính sách phát triển nghiên cứu khoa học, đổi mới sáng tạo."
Khu rừng cổ đại giúp Venice nổi suốt 1.600 năm,https://vnexpress.net/khu-rung-co-dai-giup-venice-noi-suot-1-600-nam-4866374.html,Phần lớn công trình hiện đại được xây để tồn tại 50 năm nhưng kỹ thuật cổ đại độc đáo chỉ sử dụng gỗ đã giữ cho thành phố Venice nổi trên mặt nước suốt hơn 1.600 năm. 14
Công nghệ giúp Trung Quốc phát hiện mỏ vàng trữ lượng 1.000 tấn,https://vnexpress.net/cong-nghe-giup-trung-quoc-phat-hien-mo-vang-tru-luong-1-000-tan-4866827.html,Công nghệ lập mô hình 3D và khoan sâu đã giúp các nhà địa chất Trung Quốc phát hiện thêm một mỏ vàng trữ lượng lên tới 1.000 tấn ở Liêu Ninh. 15
Mái sân vận động điện mặt trời lớn nhất thế giới,https://vnexpress.net/mai-san-van-dong-dien-mat-troi-lon-nhat-the-gioi-4867407.html,"ĐỨCBorussia Dortmund, CLB hàng đầu của giải bóng đá Bundesliga, dự định xây mái sân vận động điện mặt trời với 11.000 tấm pin và công suất 4,2 MW."
Nhà máy điện nhiệt hạch - phân hạch đầu tiên trên thế giới,https://vnexpress.net/nha-may-dien-nhiet-hach-phan-hach-dau-tien-tren-the-gioi-4866830.html,"Trung Quốc đang chuẩn bị xây dựng nhà máy điện lai nhiệt hạch - phân hạch công suất 100 MW, đánh dấu bước tiến cách mạng trong ngành năng lượng hạt nhân. 21"
